t,o,h,l,c,v
1719381600000,61570.3,61619.6,61530.0,61619.5,52631.4
1719382500000,61619.6,61692.0,61573.8,61624.8,46578.4
1719383400000,61624.9,61667.2,61550.0,61552.5,41410.4
1719384300000,61552.6,61655.6,61540.0,61588.8,28986.6
1719385200000,61588.8,61671.1,61548.9,61661.9,40820.7
1719386100000,61662.0,61759.9,61621.8,61631.9,73688.4
1719387000000,61631.9,61820.7,61539.6,61700.0,79012.4
1719387900000,61700.1,61749.2,61672.2,61732.1,34520.9
1719388800000,61732.1,61763.9,61550.0,61550.0,55639.4
1719389700000,61550.0,61571.9,61368.4,61527.7,147579.6
1719390600000,61527.8,61571.4,61425.6,61539.9,47510.4
1719391500000,61540.0,61588.2,61470.9,61482.4,30956.7
1719392400000,61482.3,61487.1,61381.3,61460.0,55474.4
1719393300000,61460.0,61514.7,61336.7,61510.1,66406.3
1719394200000,61510.0,61529.2,61361.0,61361.1,35270.5
1719395100000,61361.1,61432.1,61313.8,61379.6,52285.6
1719396000000,61379.5,61419.4,61253.9,61339.5,65084.7
1719396900000,61339.5,61339.6,61206.0,61308.8,102470.7
1719397800000,61308.8,61342.2,61233.0,61234.6,69569.9
1719398700000,61234.5,61344.2,61161.6,61272.8,94727.9
1719399600000,61272.8,61516.5,61272.8,61516.5,90115.0
1719400500000,61516.4,61570.6,61345.4,61346.2,77334.3
1719401400000,61346.0,61410.0,61314.2,61341.1,37483.3
1719402300000,61341.2,61460.0,61313.2,61443.5,29583.3
1719403200000,61443.5,61589.9,61367.0,61386.0,61824.9
1719404100000,61386.0,61536.6,61369.3,61444.1,38057.3
1719405000000,61444.1,61510.1,61330.0,61357.1,37085.0
1719405900000,61357.1,61549.9,61341.1,61420.0,62374.4
1719406800000,61420.1,61579.2,61370.3,61414.5,74110.7
1719407700000,61414.6,61560.0,61400.0,61518.0,35486.8
1719408600000,61518.0,61740.9,61478.0,61622.8,155310.6
